                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  3.336,                 3.2182,                 1.7341,                0.18806,                0.23547,                0.19143,                0.06445,                 2.9991,                 2.8434,                 1.6977,             0.00037974,             0.00037974,             0.00037974
                     81,                 3.2324,                 3.2292,                  1.724,                 0.2371,                0.19591,                0.18479,                0.06188,                 2.9901,                 2.9105,                 1.6825,             0.00036324,             0.00036324,             0.00036324
                     82,                 3.1798,                 3.0979,                 1.7137,                0.23535,                0.32324,                 0.1781,                0.06367,                 2.7794,                 2.6387,                 1.6559,             0.00034674,             0.00034674,             0.00034674
                     83,                 3.0529,                 3.0676,                 1.6917,                0.28692,                0.28873,                0.19572,                0.07334,                 2.7261,                 2.6233,                 1.6342,             0.00033023,             0.00033023,             0.00033023
                     84,                 2.9607,                 2.8905,                 1.6285,                0.23621,                0.30345,                0.24724,                0.10161,                 2.5801,                 2.5212,                 1.5663,             0.00031373,             0.00031373,             0.00031373
                     85,                 2.9193,                 2.8165,                 1.5726,                0.72873,                0.27035,                0.24849,                0.10504,                 2.5033,                 2.4071,                 1.5426,             0.00029723,             0.00029723,             0.00029723
                     86,                 2.8512,                  2.753,                 1.6135,                0.29671,                0.32924,                0.24823,                0.10306,                 2.4477,                 2.3785,                 1.5244,             0.00028072,             0.00028072,             0.00028072
                     87,                 2.7851,                 2.6801,                 1.5998,                0.25281,                0.35999,                0.27231,                0.12143,                  2.398,                 2.2968,                 1.5131,             0.00026422,             0.00026422,             0.00026422
                     88,                 2.6704,                 2.6219,                  1.543,                0.72698,                0.27326,                0.26616,                0.11782,                 2.3416,                 2.2876,                 1.5147,             0.00024772,             0.00024772,             0.00024772
                     89,                 2.6942,                 2.6469,                  1.555,                0.30856,                0.34395,                 0.2922,                0.13265,                 2.3167,                 2.3141,                 1.4879,             0.00023121,             0.00023121,             0.00023121
                     90,                 2.6544,                 2.5285,                 1.5546,                 0.3259,                 0.3133,                0.28154,                0.12534,                 2.3133,                 2.2673,                 1.5396,             0.00021471,             0.00021471,             0.00021471
                     91,                 2.5922,                 2.7904,                 1.6658,                0.26123,                0.31516,                0.26267,                 0.1137,                 2.3746,                 2.3374,                 1.5534,             0.00019821,             0.00019821,             0.00019821
                     92,                 2.5563,                 2.6347,                 1.6666,                0.23995,                0.33365,                0.27368,                0.11305,                 2.3887,                 2.3313,                 1.5894,              0.0001817,              0.0001817,              0.0001817
                     93,                 2.4471,                 2.5109,                 1.6719,                0.32501,                0.38394,                0.31245,                0.13459,                 2.3288,                 2.2113,                 1.5649,              0.0001652,              0.0001652,              0.0001652
                     94,                 2.4259,                 2.3961,                 1.6131,                0.33298,                0.40998,                0.30719,                0.13417,                 2.3097,                 2.1417,                 1.5352,              0.0001487,              0.0001487,              0.0001487
                     95,                 2.4554,                 2.3837,                 1.6158,                0.32567,                0.41093,                0.30381,                0.13396,                 2.3033,                 2.1342,                 1.5334,             0.00013219,             0.00013219,             0.00013219
                     96,                 2.3923,                 2.4143,                 1.5802,                0.30742,                0.38288,                0.30027,                0.13486,                 2.2351,                 2.1372,                 1.5129,             0.00011569,             0.00011569,             0.00011569
                     97,                 2.3803,                 2.3583,                 1.6045,                0.34213,                0.39308,                0.31233,                0.14212,                 2.2243,                 2.1019,                  1.504,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 2.3144,                 2.3189,                 1.5628,                0.29691,                0.39497,                0.30488,                0.14157,                 2.2155,                 2.0718,                 1.5126,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 2.3218,                  2.275,                 1.5508,                0.32371,                0.42564,                0.31619,                 0.1428,                 2.2349,                 2.0621,                 1.5142,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 2.3633,                 2.2855,                  1.611,                0.33247,                0.40238,                0.31605,                0.14745,                 2.2061,                 2.0483,                 1.5066,             4.9677e-05,             4.9677e-05,             4.9677e-05
